"protein_class_id","parent_id","pref_name","short_name","protein_class_desc","definition","class_level"
363,1159,"Nuclear hormone receptor subfamily 1 group I member 1","NR1I1","transcription factor  nuclear receptor  nr1  nr1i  nr1i1","Proteins, usually found in the cytoplasm, that specifically bind calcitriol, migrate to the nucleus, and regulate transcription of specific segments of DNA with the participation of D receptor interacting proteins (called DRIP). Vitamin D is converted in the liver and kidney to calcitriol and ultimately acts through these receptors. [MESH:D018167]",5
364,1159,"Nuclear hormone receptor subfamily 1 group I member 2","NR1I2","transcription factor  nuclear receptor  nr1  nr1i  nr1i2",,5
365,1159,"Nuclear hormone receptor subfamily 1 group I member 3","NR1I3","transcription factor  nuclear receptor  nr1  nr1i  nr1i3",,5
366,1161,"Nuclear hormone receptor subfamily 2 group B member 1","NR2B1","transcription factor  nuclear receptor  nr2  nr2b  nr2b1","A nuclear transcription factor. Heterodimerization with PPAR GAMMA is important in regulation of GLUCOSE metabolism and CELL GROWTH PROCESSES. [MESH:D047490]",5
367,1161,"Nuclear hormone receptor subfamily 2 group B member 2","NR2B2","transcription factor  nuclear receptor  nr2  nr2b  nr2b2",,5
368,1161,"Nuclear hormone receptor subfamily 2 group B member 3","NR2B3","transcription factor  nuclear receptor  nr2  nr2b  nr2b3","A nuclear transcription factor. Heterodimerization with PPAR ALPHA is important to metabolism of LIPIDS. [MESH:D047491]",5
369,1163,"Nuclear hormone receptor subfamily 2 group E member 3","NR2E3","transcription factor  nuclear receptor  nr2  nr2e  nr2e3",,5
370,1165,"Nuclear hormone receptor subfamily 3 group A member 1","NR3A1","transcription factor  nuclear receptor  nr3  nr3a  nr3a1","One of the ESTROGEN RECEPTORS that has marked affinity for ESTRADIOL. Its expression and function differs from, and in some ways opposes, ESTROGEN RECEPTOR BETA. [MESH:D047628]",5
371,1165,"Nuclear hormone receptor subfamily 3 group A member 2","NR3A2","transcription factor  nuclear receptor  nr3  nr3a  nr3a2","One of the ESTROGEN RECEPTORS that has greater affinity for ISOFLAVONES than ESTROGEN RECEPTOR ALPHA does. There is great sequence homology with ER alpha in the DNA-binding domain but not in the ligand binding and hinge domains. [MESH:D047629]",5
372,1166,"Nuclear hormone receptor subfamily 3 group B member 1","NR3B1","transcription factor  nuclear receptor  nr3  nr3b  nr3b1",,5
373,1166,"Nuclear hormone receptor subfamily 3 group B member 2","NR3B2","transcription factor  nuclear receptor  nr3  nr3b  nr3b2",,5
374,1166,"Nuclear hormone receptor subfamily 3 group B member 3","NR3B3","transcription factor  nuclear receptor  nr3  nr3b  nr3b3",,5
375,1167,"Nuclear hormone receptor subfamily 3 group C member 1","NR3C1","transcription factor  nuclear receptor  nr3  nr3c  nr3c1","Cytoplasmic proteins that specifically bind glucocorticoids and mediate their cellular effects. The glucocorticoid receptor-glucocorticoid complex acts in the nucleus to induce transcription of DNA. Glucocorticoids were named for their actions on blood glucose concentration, but they have equally important effects on protein and fat metabolism. Cortisol is the most important example. [MESH:D011965]",5
376,1167,"Nuclear hormone receptor subfamily 3 group C member 2","NR3C2","transcription factor  nuclear receptor  nr3  nr3c  nr3c2","Cytoplasmic proteins that specifically bind aldosterone and mediate its cellular effects. The aldosterone-bound receptor acts in the nucleus to regulate the transcription of specific segments of DNA. [MESH:D017458]",5
377,1167,"Nuclear hormone receptor subfamily 3 group C member 3","NR3C3","transcription factor  nuclear receptor  nr3  nr3c  nr3c3","Specific proteins found in or on cells of progesterone target tissues that specifically combine with progesterone. The cytosol progesterone-receptor complex then associates with the nucleic acids to initiate protein synthesis. There are two kinds of progesterone receptors, A and B. Both are induced by estrogen and have short half-lives. [MESH:D011980]",5
378,1167,"Nuclear hormone receptor subfamily 3 group C member 4","NR3C4","transcription factor  nuclear receptor  nr3  nr3c  nr3c4","Proteins, generally found in the CYTOPLASM, that specifically bind ANDROGENS and mediate their cellular actions. The complex of the androgen and receptor migrates to the CELL NUCLEUS where it induces transcription of specific segments of DNA. [MESH:D011944]",5
379,1169,"Nuclear hormone receptor subfamily 5 group A member 1","NR5A1","transcription factor  nuclear receptor  nr5  nr5a  nr5a1","A transcription factor and member of the nuclear receptor family NR5 that is expressed throughout the adrenal and reproductive axes during development. It plays an important role in sexual differentiation, formation of primary steroidogenic tissues, and their functions in post-natal and adult life. It regulates the expression of key steroidogenic enzymes. [MESH:D054339]",5
380,1169,"Nuclear hormone receptor subfamily 5 group A member 2","NR5A2","transcription factor  nuclear receptor  nr5  nr5a  nr5a2",,5
382,1648,"AGC protein kinase RSKp70","Rskp70","enzyme  kinase  protein kinase  agc  rsk  rskp70","A family of ribosomal protein S6 kinases that are considered the major physiological kinases for RIBOSOMAL PROTEIN S6. Unlike RIBOSOMAL PROTEIN S6 KINASES, 90KDa the proteins in this family are sensitive to the inhibitory effects of RAPAMYCIN and contain a single kinase domain. They are referred to as 70kDa proteins, however ALTERNATIVE SPLICING of mRNAs for proteins in this class also results in 85kDa variants being formed. [MESH:D038762]",6
383,1702,"CAMK protein kinase LKB subfamily","Lkb","enzyme  kinase  protein kinase  camk  camkl  lkb",,6
384,1702,"CAMK protein kinase QIK subfamily","Qik","enzyme  kinase  protein kinase  camk  camkl  qik",,6
385,1690,"CAMK protein kinase MSKb subfamily","Mskb","enzyme  kinase  protein kinase  camk  rskb  mskb",,6
386,1690,"CAMK protein kinase RSKb subfamily","Rskb","enzyme  kinase  protein kinase  camk  rskb  rskb","A family of ribosomal protein S6 kinases that are structurally distinguished from RIBOSOMAL PROTEIN S6 KINASES, 70-KDA by their apparent molecular size and the fact they contain two functional kinase domains. Although considered RIBOSOMAL PROTEIN S6 KINASES, members of this family are activated via the MAP KINASE SIGNALING SYSTEM and have been shown to act on a diverse array of substrates that are involved in cellular regulation such as RIBOSOMAL PROTEIN S6 and CAMP RESPONSE ELEMENT-BINDING PROTEIN. [MESH:D038744]",6
388,237,"CMGC protein kinase TAIRE subfamily","Taire","enzyme  kinase  protein kinase  cmgc  cdk  taire",,6
390,1669,"CMGC protein kinase HIPK subfamily","Hipk","enzyme  kinase  protein kinase  cmgc  dyrk  hipk",,6
391,249,"CMGC protein kinase ERK1","Erk1","enzyme  kinase  protein kinase  cmgc  mapk  erk1",,6
392,249,"CMGC protein kinase ERK3","Erk3","enzyme  kinase  protein kinase  cmgc  mapk  erk3",,6
393,249,"CMGC protein kinase ERK5","Erk5","enzyme  kinase  protein kinase  cmgc  mapk  erk5",,6
395,256,"Other protein kinase Nek1","Nek1","enzyme  kinase  protein kinase  other  nek  nek1",,6
396,1629,"Other protein kinase GCN2 subfamily","Gcn2","enzyme  kinase  protein kinase  other  pek  gcn2",,6
397,257,"Other protein kinase PLK2","Plk2","enzyme  kinase  protein kinase  other  plk  plk2",,6
398,259,"Other protein kinase WEE1","Wee1","enzyme  kinase  protein kinase  other  wee  wee1",,6
400,262,"STE protein kinase FRAY subfamily","Fray","enzyme  kinase  protein kinase  ste  ste20  fray",,6
401,262,"STE protein kinase PAKA subfamily","Paka","enzyme  kinase  protein kinase  ste  ste20  paka",,6
402,262,"STE protein kinase PAKB subfamily","Pakb","enzyme  kinase  protein kinase  ste  ste20  pakb",,6
403,1693,"TKL protein kinase STKR1","Stkr1","enzyme  kinase  protein kinase  tkl  stkr  stkr1",,6
404,1693,"TKL protein kinase STKR Type 1 subfamily","Type1","enzyme  kinase  protein kinase  tkl  stkr  type1",,6
405,1693,"TKL protein kinase STKR Type 2 subfamily","Type2","enzyme  kinase  protein kinase  tkl  stkr  type2",,6
406,1126,"Nicotinic acetylcholine receptor beta subunit","CHRN beta","ion channel  lgic  ach  chrn beta",,4
407,1275,"Parathyroid hormone receptor","Parathyroid hormone receptor","membrane receptor  7tm2  peptide  parathyroid hormone receptor  parathyroid hormone receptor","A parathyroid hormone receptor subtype that recognizes both PARATHYROID HORMONE and PARATHYROID HORMONE-RELATED PROTEIN. It is a G-protein-coupled receptor that is expressed at high levels in BONE and in KIDNEY. [MESH:D044168]",5
409,1702,"CAMK protein kinase AMPK subfamily","Ampk","enzyme  kinase  protein kinase  camk  camkl  ampk","Intracellular signaling protein kinases that play a signaling role in the regulation of cellular energy metabolism. Their activity largely depends upon the concentration of cellular AMP which is increased under conditions of low energy or metabolic stress. AMP-activated protein kinases modify enzymes involved in LIPID METABOLISM, which in turn provide substrates needed to convert AMP into ATP. [MESH:D055372]",6
410,1702,"CAMK protein kinase BRSK subfamily","Brsk","enzyme  kinase  protein kinase  camk  camkl  brsk",,6
411,1702,"CAMK protein kinase CHK1 subfamily","Chk1","enzyme  kinase  protein kinase  camk  camkl  chk1",,6
412,1702,"CAMK protein kinase MARK subfamily","Mark","enzyme  kinase  protein kinase  camk  camkl  mark",,6
413,1702,"CAMK protein kinase MELK subfamily","Melk","enzyme  kinase  protein kinase  camk  camkl  melk",,6
414,1702,"CAMK protein kinase NIM1 subfamily","Nim1","enzyme  kinase  protein kinase  camk  camkl  nim1",,6
415,1702,"CAMK protein kinase NuaK subfamily","Nuak","enzyme  kinase  protein kinase  camk  camkl  nuak",,6
416,1702,"CAMK protein kinase PASK subfamily","Pask","enzyme  kinase  protein kinase  camk  camkl  pask",,6
417,256,"Other protein kinase Nek11","Nek11","enzyme  kinase  protein kinase  other  nek  nek11",,6
419,261,"STE protein kinase MEKK2","Mekk2","enzyme  kinase  protein kinase  ste  ste11  mekk2",,6
420,262,"STE protein kinase NinaC subfamily","NinaC","enzyme  kinase  protein kinase  ste  ste20  ninac",,6
421,1623,"TKL protein kinase MLK subfamily","Mlk","enzyme  kinase  protein kinase  tkl  mlk  mlk",,6
422,1126,"Nicotinic acetylcholine receptor alpha subunit","CHRN alpha","ion channel  lgic  ach  chrn alpha",,4
423,1126,"Nicotinic acetylcholine receptor delta subunit","CHRN delta","ion channel  lgic  ach  chrn delta",,4
424,1126,"Nicotinic acetylcholine receptor gamma subunit","CHRN gamma","ion channel  lgic  ach  chrn gamma",,4
428,1713,"CAMK protein kinase MNK subfamily","Mnk","enzyme  kinase  protein kinase  camk  mapkapk  mnk",,6
429,237,"CMGC protein kinase PCTAIRE","Pctaire","enzyme  kinase  protein kinase  cmgc  cdk  pctaire",,6
430,237,"CMGC protein kinase PFTAIRE","Pftaire","enzyme  kinase  protein kinase  cmgc  cdk  pftaire",,6
431,237,"CMGC protein kinase PITSLRE subfamily","Pitslre","enzyme  kinase  protein kinase  cmgc  cdk  pitslre",,6
432,1701,"Other protein kinase Meta subfamily","Meta","enzyme  kinase  protein kinase  other  camkk  meta",,6
435,1251,"Glucagon-like peptide receptor","Glucagon-like peptide receptor","membrane receptor  7tm2  peptide  glucagon-like  glucagon-like peptide receptor",,5
437,1647,"Atypical protein kinase RIO1 subfamily","Rio1","enzyme  kinase  protein kinase  atypical  rio  rio1",,6
438,1647,"Atypical protein kinase RIO2 subfamily","Rio2","enzyme  kinase  protein kinase  atypical  rio  rio2",,6
439,1647,"Atypical protein kinase RIO3 subfamily","Rio3","enzyme  kinase  protein kinase  atypical  rio  rio3",,6
440,158,"Other protein kinase unique family","Other-Unique","enzyme  kinase  protein kinase  other  other-unique",,5
441,1678,"TKL protein kinase TESK subfamily","Tesk","enzyme  kinase  protein kinase  tkl  lisk  tesk",,6
442,1126,"Nicotinic acetylcholine receptor epsilon subunit","CHRN epsilon","ion channel  lgic  ach  chrn epsilon",,4
446,1259,"Metabotropic glutamate receptor","Metabotropic glutamate receptor","membrane receptor  7tm3  smallmol  neurotransmitter  metabotropic glutamate receptor","Cell surface proteins that bind glutamate and act through G-proteins to influence second messenger systems. Several types of metabotropic glutamate receptors have been cloned. They differ in pharmacology, distribution, and mechanisms of action. [MESH:D018094]",5
449,1098,"Hydrogen potassium ATPase","H K ATPase","transporter  ntpase  p-type atpase  h k atpase",,4
450,305,"Atypical protein kinase FRAP subfamily","Frap","enzyme  kinase  protein kinase  atypical  pikk  frap",,6
460,1253,"MCH receptor","MCH receptor","membrane receptor  7tm1  peptide  short peptide  mch receptor",,5
465,1669,"CMGC protein kinase Dyrk1 subfamily","Dyrk1","enzyme  kinase  protein kinase  cmgc  dyrk  dyrk1",,6
466,1669,"CMGC protein kinase Dyrk2 subfamily","Dyrk2","enzyme  kinase  protein kinase  cmgc  dyrk  dyrk2",,6
468,1253,"GnRH receptor","GnRH receptor","membrane receptor  7tm1  peptide  short peptide  gnrh receptor","Receptors with a 6-kDa protein on the surfaces of cells that secrete LUTEINIZING HORMONE or FOLLICLE STIMULATING HORMONE, usually in the adenohypophysis. LUTEINIZING HORMONE-RELEASING HORMONE binds to these receptors, is endocytosed with the receptor and, in the cell, triggers the release of LUTEINIZING HORMONE or FOLLICLE STIMULATING HORMONE by the cell. These receptors are also found in rat gonads. INHIBINS prevent the binding of GnRH to its receptors. [MESH:D011966]",5
471,1664,"Atypical protein kinase ABC1-A subfamily","Abc1-A","enzyme  kinase  protein kinase  atypical  abc1  abc1-a",,6
472,1713,"CAMK protein kinase MAPKAPK subfamily","Mapkapk","enzyme  kinase  protein kinase  camk  mapkapk  mapkapk",,6
479,1253,"Opioid receptor","Opioid receptor","membrane receptor  7tm1  peptide  short peptide  opioid receptor","Cell membrane proteins that bind opioids and trigger intracellular changes which influence the behavior of cells. The endogenous ligands for opioid receptors in mammals include three families of peptides, the enkephalins, endorphins, and dynorphins. The receptor classes include mu, delta, and kappa receptors. Sigma receptors bind several psychoactive substances, including certain opioids, but their endogenous ligands are not known. [MESH:D011957]",5
480,1253,"Orexin receptor","Orexin receptor","membrane receptor  7tm1  peptide  short peptide  orexin receptor",,5
483,1253,"Galanin receptor","Galanin receptor","membrane receptor  7tm1  peptide  short peptide  galanin receptor","A family of G-protein-coupled receptors that are specific for GALANIN and galanin peptides. They are generally considered to be coupled to the GI, INHIBITORY G-PROTEIN to meditate the neurological effects of galanin. Several subtypes of galanin receptors occur with differing specificities for the full length galanin, galanin peptide fragments, and galanin-like peptide. [MESH:D044088]",5
484,1253,"Motilin receptor","Motilin receptor","membrane receptor  7tm1  peptide  short peptide  motilin receptor",,5
486,1253,"RF amide receptor","RF amide receptor","membrane receptor  7tm1  peptide  short peptide  rf amide receptor",,5
487,1273,"PAF receptor","PAF","membrane receptor  7tm1  smallmol  lipid-like ligand receptor  paf",,5
490,206,"AGC protein kinase PKC unclassified","Pkc-Unclassified","enzyme  kinase  protein kinase  agc  pkc  pkc-unclassified",,6
491,1277,"Vasoactive intestinal peptide receptor","Vasoactive intestinal peptide receptor","membrane receptor  7tm2  peptide  vasoactive intestinal peptide receptor  vasoactive intestinal peptide receptor","Cell surface proteins that bind VASOACTIVE INTESTINAL PEPTIDE; (VIP); with high affinity and trigger intracellular changes which influence the behavior of cells. [MESH:D018005]",5
494,1098,"Sodium potassium ATPase","Na K ATPase","transporter  ntpase  p-type atpase  na k atpase",,4
496,1035,"Protein-glutamine glutamyl-transferase","Protein-glutamine glutamyl-transferase","enzyme  aminoacyltransferase  protein-glutamine glutamyl-transferase","Transglutaminases catalyze cross-linking of proteins at a GLUTAMINE in one chain with LYSINE in another chain. They include keratinocyte transglutaminase (TGM1 or TGK), tissue transglutaminase (TGM2 or TGC), plasma transglutaminase involved with coagulation (FACTOR XIII and FACTOR XIIIa), hair follicle transglutaminase, and prostate transglutaminase. Although structures differ, they share an active site (YGQCW) and strict CALCIUM dependence. [MESH:D011503]",3
497,237,"CMGC protein kinase unclassified CDK subfamily","Cdk-Unclassified","enzyme  kinase  protein kinase  cmgc  cdk  cdk-unclassified",,6
499,1253,"Bradykinin receptor","Bradykinin receptor","membrane receptor  7tm1  peptide  short peptide  bradykinin receptor","Cell surface receptors that bind BRADYKININ and related KININS with high affinity and trigger intracellular changes which influence the behavior of cells. The identified receptor types (B-1 and B-2, or BK-1 and BK-2) recognize endogenous KALLIDIN; t-kinins; and certain bradykinin fragments as well as bradykinin itself. [MESH:D018002]",5
500,1253,"Endothelin receptor","Endothelin receptor","membrane receptor  7tm1  peptide  short peptide  endothelin receptor","Cell surface proteins that bind ENDOTHELINS with high affinity and trigger intracellular changes which influence the behavior of cells. [MESH:D017466]",5
501,1253,"Neurokinin receptor","Neurokinin receptor","membrane receptor  7tm1  peptide  short peptide  neurokinin receptor","A class of cell surface receptors for tachykinins that prefers neurokinin B (neurokinin beta, neuromedin K) over other tachykinins. Neurokinin-3 (NK-3) receptors have been cloned and are members of the G-protein coupled receptor superfamily. They have been found in the central nervous system and in peripheral tissues. [MESH:D018042]",5
502,1253,"Neuromedin receptor","Neuromedin receptor","membrane receptor  7tm1  peptide  short peptide  neuromedin receptor",,5
503,1278,"Corticotropin releasing factor receptor","Corticotropin releasing factor receptor","membrane receptor  7tm2  peptide  corticotropin releasing factor receptor  corticotropin releasing factor receptor","Cell surface proteins that bind corticotropin-releasing hormone with high affinity and trigger intracellular changes which influence the behavior of cells. The corticotropin releasing-hormone receptors on anterior pituitary cells mediate the stimulation of corticotropin release by hypothalamic corticotropin releasing factor. The physiological consequence of activating corticotropin-releasing hormone receptors on central neurons is not well understood. [MESH:D018019]",5
504,1251,"Gastric inhibitory polypeptide receptor","Gastric inhibitory polypeptide receptor","membrane receptor  7tm2  peptide  glucagon-like  gastric inhibitory polypeptide receptor",,5
506,1082,"N-formyl methionyl peptide receptor","N-formyl methionyl peptide receptor","membrane receptor  7tm1  peptide  n-formyl methionyl peptide receptor","A family of G-protein-coupled receptors that was originally identified by its ability to bind N-formyl peptides such as N-FORMYLMETHIONINE LEUCYL-PHENYLALANINE. Since N-formyl peptides are found in MITOCHONDRIA and BACTERIA, this class of receptors is believed to play a role in mediating cellular responses to cellular damage and bacterial invasion. However, non-formylated peptide ligands have also been found for this receptor class. [MESH:D044042]",4
507,1253,"Angiotensin receptor","Angiotensin receptor","membrane receptor  7tm1  peptide  short peptide  angiotensin receptor","Cell surface proteins that bind ANGIOTENSINS and trigger intracellular changes influencing the behavior of cells. [MESH:D011945]",5
508,1253,"GRP-related receptor","GRP-related receptor","membrane receptor  7tm1  peptide  short peptide  grp-related receptor","Cell surface proteins that bind bombesin or closely related peptides with high affinity and trigger intracellular changes influencing the behavior of cells. Gastrin- releasing peptide (GRP); GRP 18-27 (neuromedin C), and neuromedin B are endogenous ligands of bombesin receptors in mammals. [MESH:D018004]",5
509,1253,"Neurotensin receptor","Neurotensin receptor","membrane receptor  7tm1  peptide  short peptide  neurotensin receptor","Cell surface proteins that bind neurotensin with high affinity and trigger intracellular changes which influence the behavior of cells. Neurotensin and neurotensin receptors are found in the central nervous system and in the periphery. [MESH:D018028]",5
510,1256,"Calcitonin gene-related peptide receptor","Calcitonin gene-related peptide receptor","membrane receptor  7tm2  peptide  calcitonin-like  calcitonin gene-related peptide receptor","Cell surface proteins that bind CALCITONIN GENE-RELATED PEPTIDE with high affinity and trigger intracellular changes which influence the behavior of cells. CGRP receptors are present in both the CENTRAL NERVOUS SYSTEM and the periphery. They are formed via the heterodimerization of the CALCITONIN RECEPTOR-LIKE PROTEIN and RECEPTOR ACTIVITY-MODIFYING PROTEIN 1. [MESH:D018015]",5
515,1253,"Melanocortin receptor","Melanocortin receptor","membrane receptor  7tm1  peptide  short peptide  melanocortin receptor","A family of G-protein-coupled receptors that have specificity for MELANOCYTE-STIMULATING HORMONES and ADRENOCORTICOTROPIC HORMONE. There are several subtypes of melanocortin receptors, each having a distinct ligand specificity profile and tissue localization. [MESH:D044101]",5
516,1253,"Neuropeptide receptor","Neuropeptide receptor","membrane receptor  7tm1  peptide  short peptide  neuropeptide receptor","Cell surface receptors that bind specific neuropeptides with high affinity and trigger intracellular changes influencing the behavior of cells. Many neuropeptides are also hormones outside of the nervous system. [MESH:D018013]",5
517,1253,"Somatostatin receptor","Somatostatin receptor","membrane receptor  7tm1  peptide  short peptide  somatostatin receptor","Cell surface proteins that bind somatostatin and trigger intracellular changes which influence the behavior of cells. Somatostatin is a hypothalamic hormone, a pancreatic hormone, and a central and peripheral neurotransmitter. Activated somatostatin receptors on pituitary cells inhibit the release of growth hormone; those on endocrine and gastrointestinal cells regulate the absorption and utilization of nutrients; and those on neurons mediate somatostatin's role as a neurotransmitter. [MESH:D017481]",5
518,1251,"Growth hormone-releasing hormone receptor","Growth hormone-releasing hormone receptor","membrane receptor  7tm2  peptide  glucagon-like  growth hormone-releasing hormone receptor",,5
528,1269,"Anaphylatoxin receptor","Anaphylatoxin","membrane receptor  7tm1  peptide  anaphylatoxin receptor  anaphylatoxin",,5
533,1253,"Adrenomedullin receptor","Adrenomedullin receptor","membrane receptor  7tm1  peptide  short peptide  adrenomedullin receptor","G-protein-coupled cell surface receptors for ADRENOMEDULLIN. They are formed by the heterodimerization of CALCITONIN RECEPTOR-LIKE PROTEIN and either RECEPTOR ACTIVITY-MODIFYING PROTEIN 2 or RECEPTOR ACTIVITY-MODIFYING PROTEIN 3. [MESH:D058265]",5
534,1253,"Neuropeptide Y receptor","Neuropeptide Y receptor","membrane receptor  7tm1  peptide  short peptide  neuropeptide y receptor","Cell surface proteins that bind neuropeptide Y with high affinity and trigger intracellular changes which influence the behavior of cells. [MESH:D017476]",5
535,1266,"Dopamine receptor","Dopamine receptor","membrane receptor  7tm1  smallmol  monoamine receptor  dopamine receptor","Cell-surface proteins that bind dopamine with high affinity and trigger intracellular changes influencing the behavior of cells. [MESH:D011954]",5
540,1253,"Cholecystokinin receptor","Cholecystokinin receptor","membrane receptor  7tm1  peptide  short peptide  cholecystokinin receptor","Cell surface proteins that bind cholecystokinin (CCK) with high affinity and trigger intracellular changes influencing the behavior of cells. Cholecystokinin receptors are activated by GASTRIN as well as by CCK-4; CCK-8; and CCK-33. Activation of these receptors evokes secretion of AMYLASE by pancreatic acinar cells, acid and PEPSIN by stomach mucosal cells, and contraction of the PYLORUS and GALLBLADDER. The role of the widespread CCK receptors in the central nervous system is not well understood. [MESH:D011949]",5
541,1266,"Histamine receptor","Histamine receptor","membrane receptor  7tm1  smallmol  monoamine receptor  histamine receptor","Cell-surface proteins that bind histamine and trigger intracellular changes influencing the behavior of cells. Histamine receptors are widespread in the central nervous system and in peripheral tissues. Three types have been recognized and designated H1, H2, and H3. They differ in pharmacology, distribution, and mode of action. [MESH:D011968]",5
542,1266,"Serotonin receptor","Serotonin receptor","membrane receptor  7tm1  smallmol  monoamine receptor  serotonin receptor","Cell-surface proteins that bind SEROTONIN and trigger intracellular changes which influence the behavior of cells. Several types of serotonin receptors have been recognized which differ in their pharmacology, molecular biology, and mode of action. [MESH:D011985]",5
544,1266,"Adrenergic receptor","Adrenergic receptor","membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor","Cell-surface proteins that bind epinephrine and/or norepinephrine with high affinity and trigger intracellular changes. The two major classes of adrenergic receptors, alpha and beta, were originally discriminated based on their cellular actions but now are distinguished by their relative affinity for characteristic synthetic ligands. Adrenergic receptors may also be classified according to the subtypes of G-proteins with which they bind; this scheme does not respect the alpha-beta distinction. [MESH:D011941]",5
547,1265,"CC chemokine receptor","CC chemokine receptor","membrane receptor  7tm1  peptide  chemokine receptor  cc chemokine receptor","Chemokine receptors that are specific for CC CHEMOKINES. [MESH:D054388]",5
548,1265,"XC chemokine receptor","XC chemokine receptor","membrane receptor  7tm1  peptide  chemokine receptor  xc chemokine receptor",,5
549,1273,"EDG receptor","EDG receptor","membrane receptor  7tm1  smallmol  lipid-like ligand receptor  edg receptor",,5
550,1266,"Trace amine receptor","Trace amine receptor","membrane receptor  7tm1  smallmol  monoamine receptor  trace amine receptor",,5
551,1267,"Melatonin receptor","Melatonin receptor","membrane receptor  7tm1  smallmol  monoamine-derivative  melatonin receptor","A family of G-protein-coupled receptors that are specific for and mediate the effects of MELATONIN. Activation of melatonin receptors has been associated with decreased intracellular CYCLIC AMP and increased hydrolysis of PHOSPHOINOSITIDES. [MESH:D044094]",5
554,1265,"CXC chemokine receptor","CXC chemokine receptor","membrane receptor  7tm1  peptide  chemokine receptor  cxc chemokine receptor","Chemokine receptors that are specific for CXC CHEMOKINES. [MESH:D054387]",5
555,1270,"Chemerin receptor","Chemerin receptor","membrane receptor  7tm1  peptide  chemokine receptor-like  chemerin receptor",,5
556,1272,"Purine receptor","Purine receptor","membrane receptor  7tm1  smallmol  nucleotide-like receptor  purine receptor","Cell surface proteins that bind PURINES with high affinity and trigger intracellular changes which influence the behavior of cells. The best characterized classes of purinergic receptors in mammals are the P1 receptors, which prefer ADENOSINE, and the P2 receptors, which prefer ATP or ADP. [MESH:D011983]",5
558,1265,"CX3C chemokine receptor","CX3C chemokine receptor","membrane receptor  7tm1  peptide  chemokine receptor  cx3c chemokine receptor",,5
559,1266,"Acetylcholine receptor","Acetylcholine receptor","membrane receptor  7tm1  smallmol  monoamine receptor  acetylcholine receptor","Cell surface proteins that bind acetylcholine with high affinity and trigger intracellular changes influencing the behavior of cells. Cholinergic receptors are divided into two major classes, muscarinic and nicotinic, based originally on their affinity for nicotine and muscarine. Each group is further subdivided based on pharmacology, location, mode of action, and/or molecular biology. [MESH:D011950]",5
561,1268,"Glycohormone receptor","Glycohormone receptor","membrane receptor  7tm1  peptide  glycohormone receptor  glycohormone receptor",,5
562,1253,"Vasopressin and oxytocin receptor","Vasopressin and oxytocin receptor","membrane receptor  7tm1  peptide  short peptide  vasopressin and oxytocin receptor","Specific molecular sites or proteins on or in cells to which VASOPRESSINS bind or interact in order to modify the function of the cells. Two types of vasopressin receptor exist, the V1 receptor in the vascular smooth muscle and the V2 receptor in the kidneys. The V1 receptor can be subdivided into V1a and V1b (formerly V3) receptors. [MESH:D017483]",5
563,1272,"Adenosine receptor","Adenosine receptor","membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor","A class of cell surface receptors that prefer ADENOSINE to other endogenous PURINES. Purinergic P1 receptors are widespread in the body including the cardiovascular, respiratory, immune, and nervous systems. There are at least two pharmacologically distinguishable types (A1 and A2, or Ri and Ra). [MESH:D018047]",5
565,1273,"Prostanoid receptor","Prostanoid receptor","membrane receptor  7tm1  smallmol  lipid-like ligand receptor  prostanoid receptor","Cell surface receptors that bind prostaglandins with high affinity and trigger intracellular changes which influence the behavior of cells. Prostaglandin receptor subtypes have been tentatively named according to their relative affinities for the endogenous prostaglandins. They include those which prefer prostaglandin D2 (DP receptors), prostaglandin E2 (EP1, EP2, and EP3 receptors), prostaglandin F2-alpha (FP receptors), and prostacyclin (IP receptors). [MESH:D011982]",5
566,1273,"Cannabinoid receptor","Cannabinoid receptor","membrane receptor  7tm1  smallmol  lipid-like ligand receptor  cannabinoid receptor","A class of G-protein-coupled receptors that are specific for CANNABINOIDS such as those derived from CANNABIS. They also bind a structurally distinct class of endogenous factors referred to as ENDOCANNABINOIDS. The receptor class may play a role in modulating the release of signaling molecules such as NEUROTRANSMITTERS and CYTOKINES. [MESH:D043882]",5
567,1273,"Leukotriene receptor","Leukotriene receptor","membrane receptor  7tm1  smallmol  lipid-like ligand receptor  leukotriene receptor","Cell-surface receptors that bind LEUKOTRIENES with high affinity and trigger intracellular changes influencing the behavior of cells. The leukotriene receptor subtypes have been tentatively named according to their affinities for the endogenous leukotrienes LTB4; LTC4; LTD4; and LTE4. [MESH:D018077]",5
568,1272,"Nicotinic acid receptor","Nicotinic acid receptor","membrane receptor  7tm1  smallmol  nucleotide-like receptor  nicotinic acid receptor",,5
569,1272,"Nucleotide-like receptor","Nucleotide-like receptor","membrane receptor  7tm1  smallmol  nucleotide-like receptor  nucleotide-like receptor",,5
570,1273,"Free fatty acid receptor","Free fatty acid receptor","membrane receptor  7tm1  smallmol  lipid-like ligand receptor  free fatty acid receptor",,5
571,1274,"Protease-activated receptor","Protease-activated receptor","membrane receptor  7tm1  peptide  protease-activated receptor  protease-activated receptor","A class of receptors that are activated by the action of PROTEINASES. The most notable examples are the THROMBIN RECEPTORS. The receptors contain cryptic ligands that are exposed upon the selective proteolysis of specific N-terminal cleavage sites. [MESH:D044462]",5
