Compound,Total clearance (ml/min/kg),Set,SMILES
Terguride,16.00,Training,c12c3[C@@H]4[C@H]([N@@](C[C@H](C4)NC(N(CC)CC)=O)C)Cc1c[nH]c2ccc3
Fluvastatin,16.18,Training,c1(c2c(cccc2)n(c1\C=C\[C@@H](C[C@@H](CC(=O)O)O)O)C(C)C)c1ccc(F)cc1
Mosapride,16.19,Training,c1(c(cc(N)c(c1)Cl)OCC)C(NC[C@H]1CN(Cc2ccc(F)cc2)CCO1)=O
Ketamine,16.30,Validation,c1([C@]2(C(CCCC2)=O)NC)c(cccc1)Cl
Doxorubicin,16.46,Training,c12c([C@H](C[C@](C2)(C(CO)=O)O)O[C@@H]2C[C@@H]([C@@H](O)[C@@H](O2)C)N)c(c2C(c3c(cccc3C(c2c1O)=O)OC)=O)O
Carmustine,16.70,Training,N(C(NCCCl)=O)(CCCl)N=O
Neostigmine,16.70,Training,c1(cc(ccc1)[N+](C)(C)C)OC(N(C)C)=O
Pethidine,17.00,Training,C1(c2ccccc2)(C(OCC)=O)CCN(C)CC1
Coumarin,17.30,Training,c12c(ccc(o1)=O)cccc2
Dixyrazine,17.54,Training,C[C@H](CN1CCN(CC1)CCOCCO)CN1c2ccccc2Sc2ccccc12
Terbinafine,17.86,Training,c12c(cccc1cccc2)C[N@](C\C=C\C#CC(C)(C)C)C
Carbidopa,18.00,Validation,C([C@@](C(O)=O)(NN)C)c1cc(c(O)cc1)O
Lorcainide,18.00,Training,N(C1CCN(C(C)C)CC1)(c1ccc(Cl)cc1)C(Cc1ccccc1)=O
Methoxsalen,18.00,Training,O(C)c1c2c(cc3c1occ3)ccc(o2)=O
Cetiedil,18.33,Validation,c1cscc1[C@@H](C1CCCCC1)C(=O)OCCN1CCCCCC1
Tegaserod,18.33,Training,c1c2c(cc(c1)CO)c(c[nH]2)\C=N\NC(=[NH2])NCCCCC
Nicotine,18.50,Training,c1([C@@H]2[N@](CCC2)C)cccnc1
Propantheline,18.86,Training,C1(c2c(Oc3c1cccc3)cccc2)C(OCC[N+](C(C)C)(C(C)C)C)=O
Rizatriptan,18.90,Training,c12c([nH]cc1CCN(C)C)ccc(c2)Cn1cncn1
Propafenone,19.00,Training,c1(c(C(CCc2ccccc2)=O)cccc1)OC[C@@H](CNCCC)O
Quetiapine,19.06,Validation,C=1(c2c(Sc3c(N1)cccc3)cccc2)N1CCN(CCOCCO)CC1
Sumatriptan,19.15,Training,c12c([nH]cc1CCN(C)C)ccc(c2)CS(NC)(=O)=O
Hydromorphone,19.16,Training,c12[C@@]34[C@H]5[C@@H]([N@](C)CC4)Cc2ccc(c1O[C@@H]3C(=O)CC5)O
Carbimide,20.00,Training,N=C=N
Fendiline,20.00,Validation,C[C@H](NCCC(c1ccccc1)c1ccccc1)c1ccccc1
Mesna,20.50,Training,C(S(O)(=O)=O)CS
Fluvoxamine,21.40,Training,c1(\C(CCCCOC)=N\OCCN)ccc(C(F)(F)F)cc1
Midodrine,23.00,Training,c1(c(ccc(c1)OC)OC)[C@@H](CNC(CN)=O)O
Fenretinide,23.48,Training,CC=1CCCC(C)(C)C1\C=C\C(C)=C\C=C\C(C)=C\C(Nc1ccc(cc1)O)=O
Naloxone,23.50,Training,c12[C@@]34[C@]5([C@@H]([N@](CC=C)CC4)Cc2ccc(c1O[C@@H]3C(=O)CC5)O)O
Perphenazine,23.81,Training,N1(c2c(Sc3c1cccc3)ccc(c2)Cl)CCCN1CCN(CCO)CC1
Morphine,24.50,Training,c12c3c(ccc1C[C@H]1[C@H]4C=C[C@@H]([C@H]([C@@]24CC[N@]1C)O3)O)O
Rivastigmine,25.71,Training,c1(cc(ccc1)[C@H](C)N(C)C)OC(=O)N(C)CC
Zidovudine,26.00,Training,n1([C@H]2C[C@H](N=[N+]=N)[C@H](O2)CO)c([nH]c(=O)c(c1)C)=O
Quinapril,26.43,Training,N1([C@H](Cc2ccccc2C1)C(O)=O)C([C@@H](N[C@H](CCc1ccccc1)C(OCC)=O)C)=O
Nandrolone,26.67,Training,C[C@@]12[C@H]([C@H]3[C@@H]([C@@H]4C(=CC(=O)CC4)CC3)CC1)CC[C@@H]2O
Labetalol,28.10,Training,c1(cc(c(O)cc1)C(N)=O)[C@@H](CN[C@@H](CCc1ccccc1)C)O
Buspirone,28.30,Training,C12(CC(N(CCCCN3CCN(c4ncccn4)CC3)C(C1)=O)=O)CCCC2
Emivirine,28.57,Training,[nH]1c(c(c(n(c1=O)COCC)Cc1ccccc1)C(C)C)=O
Ibutilide,29.00,Training,c1(ccc(NS(C)(=O)=O)cc1)[C@@H](CCCN(CCCCCCC)CC)O
Amineptine,29.55,Training,c1ccc2c(c1)CCc1ccccc1C2NCCCCCCC(O)=O
Nalbuphine,29.70,Training,c12[C@@]34[C@]5([C@@H]([N@](CC6CCC6)CC4)Cc2ccc(c1O[C@@H]3[C@@H](O)CC5)O)O
Phenylephrine,29.90,Training,c1([C@@H](CNC)O)cc(ccc1)O
Cocaine,32.00,Training,C([C@@H]1[C@H]2[N@@](C(C[C@H]1OC(c1ccccc1)=O)CC2)C)(OC)=O
Tizanidine,33.33,Training,c12c(NC=3NCCN3)c(ccc1nsn2)Cl
Bupropion,36.00,Training,c1(C([C@@H](NC(C)(C)C)C)=O)cc(ccc1)Cl
Dopexamine,36.00,Training,c1(cc(c(O)cc1)O)CCNCCCCCCNCCc1ccccc1
Sertraline,38.00,Training,c12[C@@H](c3cc(c(Cl)cc3)Cl)CC[C@@H](c1cccc2)NC
Butorphanol,40.00,Training,C123[C@]([C@@H]([N@](CC4CCC4)CC2)Cc2ccc(cc12)O)(CCCC3)O
Acadesine,41.67,Training,n1([C@H]2O[C@H](CO)[C@H]([C@@H]2O)O)c(c(C(N)=O)nc1)N
Oxaprozin,48.33,Training,c1(c(c2ccccc2)oc(n1)CCC(O)=O)c1ccccc1
Hydralazine,56.00,Training,c12c(cnnc1NN)cccc2
Azathioprine,57.00,Training,C1(=c2[c+]([nH]cn2)N=CN1)Sc1c(ncn1C)[N+](=O)[O-]
Dobutamine,59.00,Training,c1(c(ccc(c1)CCN[C@H](CCc1ccc(O)cc1)C)O)O
Capecitabine,59.73,Training,n1([C@H]2[C@@H]([C@H](O)[C@H](O2)C)O)c(nc(NC(OCCCCC)=O)c(c1)F)=O
Prilocaine,64.00,Training,c1(NC([C@@H](NCCC)C)=O)c(cccc1)C
N-(4-methoxyphenyl)retinamide,98.86,Training,CC=1CCCC(C)(C)C1\C=C\C(C)=C/C=C/C(C)=C\C(Nc1ccc(cc1)OC)=O
Articaine,126.19,Training,CCCN[C@@H](C)C(Nc1c(C)csc1C(=O)OC)=O
Exemestane,145.00,Training,C=1[C@@]2(C(=CC(C1)=O)C(C[C@@H]1C2CC[C@]2([C@H]1CCC2=O)C)=C)C
Encainide,177.14,Training,c1c(ccc(c1)C(Nc1c(cccc1)CC[C@H]1[N@@](CCCC1)C)=O)OC
Misoprostol,240.00,Training,C(\[C@H]1[C@@H](C(=O)C[C@@H]1O)CCCCCCC(OC)=O)=C\C[C@@](CCCC)(C)O
